"平成27年(2015年)産業連関表 輸入表 (統合中分類)(単位:100万円)(総務省)","耕種農業","畜産","農業サービス","林業","漁業","石炭･原油･天然ガス","その他の鉱業","食料品","飲料","飼料･有機質肥料(別掲を除く。)","たばこ","繊維工業製品","衣服･その他の繊維既製品","木材･木製品","家具･装備品","パルプ･紙･板紙･加工紙","紙加工品","印刷･製版･製本","化学肥料","無機化学工業製品","石油化学系基礎製品","有機化学工業製品(石油化学系基礎製品･合成樹脂を除く。)","合成樹脂","化学繊維","医薬品","化学最終製品(医薬品を除く。)","石油製品","石炭製品","プラスチック製品","ゴム製品","なめし革･革製品･毛皮","ガラス･ガラス製品","セメント･セメント製品","陶磁器","その他の窯業･土石製品","銑鉄･粗鋼","鋼材","鋳鍛造品(鉄)","その他の鉄鋼製品","非鉄金属製錬･精製","非鉄金属加工製品","建設用･建築用金属製品","その他の金属製品","はん用機械","生産用機械","業務用機械","電子デバイス","その他の電子部品","産業用電気機器","民生用電気機器","電子応用装置･電気計測器","その他の電気機械","通信･映像･音響機器","電子計算機･同附属装置","乗用車","その他の自動車","自動車部品･同附属品","船舶･同修理","その他の輸送機械･同修理","その他の製造工業製品","再生資源回収･加工処理","建築","建設補修","公共事業","その他の土木建設","電力","ガス･熱供給","水道","廃棄物処理","商業","金融･保険","不動産仲介及び賃貸","住宅賃貸料","住宅賃貸料(帰属家賃)","鉄道輸送","道路輸送(自家輸送を除く。)","自家輸送","水運","航空輸送","貨物利用運送","倉庫","運輸附帯サービス","郵便･信書便","通信","放送","情報サービス","インターネット附随サービス","映像･音声･文字情報制作","公務","教育","研究","医療","保健衛生","社会保険･社会福祉","介護","他に分類されない会員制団体","物品賃貸サービス","広告","自動車整備･機械修理","その他の対事業所サービス","宿泊業","飲食サービス","洗濯･理容･美容･浴場業","娯楽サービス","その他の対個人サービス","事務用品","分類不明","内生部門計","家計外消費支出(列)","民間消費支出","一般政府消費支出","一般政府消費支出(社会資本等減耗分)","国内総固定資本形成(公的)","国内総固定資本形成(民間)","在庫純増","国内最終需要計","国内需要合計","輸出","輸出計","最終需要計","需要合計"
"研究",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35131,1741249,0,1776380,1776380,0,0,1776380,1776380
"医療",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3569,0,0,0,0,0,3569,3569,0,0,3569,3569
"保健衛生",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"社会保険･社会福祉",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"介護",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"他に分類されない会員制団体",0,0,0,11,1023,93,154,2208,849,48,511,134,245,143,118,292,343,371,48,1314,165,341,165,48,2633,687,485,97,524,304,17,173,499,82,71,983,828,216,206,121,198,351,714,2317,3186,1084,558,506,603,29,148,243,627,230,364,150,379,230,288,336,169,2242,2538,1274,841,1853,1610,4302,1021,5574,10070,588,1671,0,294,2997,0,648,35,145,1110,1786,13,1994,1528,2035,362,1693,13,1543,4705,6718,230,26,416,0,2098,1790,1868,11609,704,4180,723,10986,1468,0,1069,127630,0,714,0,0,0,0,0,714,128344,0,0,714,128344
"物品賃貸サービス",14,0,41,0,3,12,0,1054,361,14,29,61,88,172,152,92,125,798,4,160,59,103,26,26,88,267,22,178,641,262,8,60,198,17,118,196,276,151,137,43,244,180,538,1004,2564,338,1087,590,1886,257,148,567,346,56,1828,219,1471,443,1307,337,123,1801,91,1032,779,2789,383,64,373,23718,3998,281,29,0,95,351,0,246,4607,118,192,395,7,1674,1027,3461,2507,498,10964,448,726,4633,353,604,3116,122,1812,126,1958,12050,429,676,235,640,273,0,81,111351,350,370,0,0,0,0,0,720,112071,0,0,720,112071
"広告",219,0,346,187,147,37,191,32379,24171,23,6263,150,1503,354,1211,1338,1420,620,129,937,58,688,235,172,40000,34141,290,31,5911,2195,87,247,139,542,335,463,1069,134,187,248,589,784,1125,4449,5457,4022,4835,2132,3459,3689,1068,1392,2088,948,13652,3919,12940,508,1474,4089,12,9483,544,1261,899,6040,4778,4065,606,106604,115697,25600,23695,0,3971,6866,0,960,3828,446,125,10563,168,38758,11091,36382,12060,29950,5851,11440,5680,7241,1734,915,1650,2460,8970,633,3245,77675,1621,34177,8395,13411,8548,0,2386,881900,0,0,0,0,0,0,0,0,881900,0,0,0,881900
"自動車整備･機械修理",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285,0,0,0,0,0,285,285,0,0,285,285
"その他の対事業所サービス",221,258,935,0,941,403,851,25268,6032,567,1608,434,4692,438,2075,2059,1490,9223,255,3022,494,4027,1274,358,6998,9121,507,212,9026,2370,252,2515,7992,276,3955,2350,1759,1289,746,355,1959,1929,3764,12012,12791,5485,10742,5386,8223,1501,1959,2607,3368,2961,11660,2858,17364,929,2824,1838,920,154908,22629,100077,40079,50840,5933,39069,14013,416034,169706,21255,18161,7400,6360,4538,0,609,2400,607,4480,59371,140,79968,24500,215261,32133,10050,115412,36417,93588,57904,5241,20356,15128,19747,50894,22818,31325,499500,3727,24245,10174,14137,8612,0,8034,2767508,3558,17973,0,0,0,0,0,21531,2789039,0,0,21531,2789039
"宿泊業",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186133,411431,0,0,0,0,0,597564,597564,0,0,597564,597564
"飲食サービス",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79977,367109,0,0,0,0,0,447086,447086,0,0,447086,447086
"洗濯･理容･美容･浴場業",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,445,2253,0,0,0,0,0,2698,2746,0,0,2698,2746
"娯楽サービス",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,0,0,0,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,135,21594,0,39,18305,0,217,18,0,0,0,0,0,0,2326,0,0,1522,467,0,14399,1275,0,49,60722,30348,120605,0,0,0,0,0,150953,211675,0,0,150953,211675
"その他の対個人サービス",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,0,15893,0,0,0,0,0,15893,16113,0,0,15893,16113
"事務用品",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"分類不明",309,3,5,24,130,18,47,1244,206,164,12,19,89,137,17,62,103,16,0,27,0,4,14,26,97,110,73,20,90,185,13,112,270,8,190,1182,1004,248,237,502,310,58,1020,1192,1844,512,22,7,106,13,21,181,185,30,57,24,95,397,246,73,14,4462,1994,537,703,124,47,254,242,5574,1144,1123,114,37,442,287,0,2334,175,7,48,655,14,402,57,111,8,59,170,988,460,418,156,899,270,126,434,14,390,1030,12,283,253,17,307,0,0,40605,0,10043,0,0,0,0,0,10043,50648,0,0,10043,50648
"内生部門計",184427,202394,22696,4284,96153,1933,11472,2934761,488245,569647,60001,231496,291516,267568,145248,506519,149923,94606,132595,265635,1342805,777776,268425,62269,520392,1054594,9309616,783156,1307576,352775,68753,111484,97557,68888,116004,1812197,313401,21964,9211,1574870,1509939,170940,486330,800668,1124383,679147,1455739,947804,807894,329404,341764,560554,476113,324602,1060393,260763,1708910,68070,717990,349750,7438,1742505,368232,253108,206405,6032870,1874382,118596,101520,1458067,1515172,73545,64842,28693,71355,156410,239439,2467275,521637,7268,13877,145657,15562,527698,140055,448864,116788,415164,536562,164813,501660,3587992,23931,123287,141300,101695,202336,58600,928096,865804,170848,1932218,95607,191984,138448,148340,49929,69911863,605364,18334869,2,0,949911,12332325,33793,32256264,102168127,0,0,32256264,102168127
