"Date","総計","総計:持家","総計:持家:住宅金融機構","総計:給与住宅","総計:貸家","総計:分譲住宅:マンション","総計:分譲住宅:一戸建て","総計:分譲住宅"
"96年03月",8.2,15.2,,-39.4,14.9,-10.2,2.9,-5
"96年04月",12.3,30.1,,6,9.4,-21.7,8.4,-11.4
"96年05月",18.1,20.4,,66.6,20.9,0.6,16.5,7.1
"96年06月",9.6,18.5,,-11.8,14.2,-14.4,0.4,-8.8
"96年07月",21.7,33.2,,12.7,19.1,7,7.5,6.6
"96年08月",14.3,26.1,,3.9,4.5,25.1,2.4,13.3
"96年09月",17.4,24.8,,-0.1,15.1,6.6,19,12
"96年10月",21.4,14.2,,6.7,31.1,11.8,28.6,17.5
"96年11月",9.9,24.6,,-5.7,10.4,-11.8,-8.5,-10.4
"96年12月",1.4,6.9,,-10.8,-1.1,-1.1,-1.3,-1.4
"97年01月",-1.9,2.3,,-18.1,-5.6,0.5,-0.9,-0.9
"97年02月",-1.5,1.3,,-31.9,-5.6,2.4,2.5,2.2
"97年03月",-7.5,-17.8,,-6.5,-4.7,16.1,-6.3,5.7
"97年04月",-9.3,-27.8,,-10.3,-3.4,36.3,7.7,23.4
"97年05月",-9.6,-10.9,,-5.8,-16.5,11.5,-3.6,4.1
"97年06月",-11.6,-21.7,,5.1,-12,13.1,0.9,7.4
"97年07月",-27.8,-40.3,,-17.4,-18.2,-25.8,-6.3,-18.4
"97年08月",-17.5,-31.9,,6.1,-12.4,5.3,-6.5,-0.2
"97年09月",-22.2,-37.6,,-7.3,-18.1,3.7,-15.5,-5.2
"97年10月",-25.2,-35.3,,-39.1,-27.4,11.5,-17.2,-1.1
"97年11月",-23.5,-39.2,,-0.9,-22.8,5.2,2.3,3.6
"97年12月",-18.6,-29.4,,-18.9,-16.4,6.3,-17.7,-5.1
"98年01月",-16.3,-28.3,,-33.7,-16.4,10.6,-1.9,5.2
"98年02月",-13.6,-26.7,,18.2,-7.4,7,-15.8,-2.8
"98年03月",-11.9,-11.4,,24.1,-15.2,-7.1,-16.2,-10.4
