"平成27年(2015年)産業連関表 取引基本表(生産者価格評価)(統合小分類)(単位:100万円)(総務省)","穀類","いも･豆類","野菜","果実","その他の食用作物","非食用作物","畜産","農業サービス","育林","素材","特用林産物","海面漁業","内水面漁業","石炭･原油･天然ガス","砂利･砕石","その他の鉱物","畜産食料品","水産食料品","精穀･製粉","めん･パン･菓子類","農産保存食料品","砂糖･油脂･調味料類","その他の食料品","酒類","その他の飲料","飼料･有機質肥料(別掲を除く。)","たばこ","紡績糸","織物","ニット生地","染色整理","その他の繊維工業製品","織物製･ニット製衣服","その他の衣服･身の回り品","その他の繊維既製品","木材","その他の木製品","家具･装備品","パルプ","紙･板紙","加工紙","紙製容器","その他の紙加工品","印刷･製版･製本","化学肥料","ソーダ工業製品","その他の無機化学工業製品","石油化学系基礎製品","脂肪族中間物･環式中間物･合成染料･有機顔料","合成ゴム","その他の有機化学工業製品","合成樹脂","化学繊維","医薬品","油脂加工製品･界面活性剤","化粧品･歯磨","塗料･印刷インキ","農薬","その他の化学最終製品","石油製品","石炭製品","プラスチック製品","タイヤ･チューブ","その他のゴム製品","革製履物","なめし革･革製品･毛皮(革製履物を除く。)","ガラス･ガラス製品","セメント･セメント製品","陶磁器","建設用土石製品","その他の窯業･土石製品","銑鉄･粗鋼","鉄屑","熱間圧延鋼材","鋼管","冷延･めっき鋼材","鋳鍛造品(鉄)","その他の鉄鋼製品","非鉄金属製錬･精製","非鉄金属屑","電線･ケーブル","その他の非鉄金属製品","建設用金属製品","建築用金属製品","ガス･石油機器･暖房･調理装置","その他の金属製品","ボイラ･原動機","ポンプ･圧縮機","運搬機械","冷凍機･温湿調整装置","その他のはん用機械","農業用機械","建設･鉱山機械","繊維機械","生活関連産業用機械","基礎素材産業用機械","金属加工機械","半導体製造装置","その他の生産用機械","事務用機械","サービス用･娯楽用機器","計測機器","医療用機械器具","光学機械･レンズ","武器","電子デバイス","その他の電子部品","産業用電気機器","民生用電気機器","電子応用装置","電気計測器","その他の電気機械","通信機器","映像･音響機器","電子計算機･同附属装置","乗用車","トラック･バス･その他の自動車","二輪自動車","自動車部品･同附属品","船舶･同修理","鉄道車両･同修理","航空機･同修理","その他の輸送機械","がん具･運動用品","その他の製造工業製品","再生資源回収･加工処理","住宅建築","非住宅建築","建設補修","公共事業","その他の土木建設","電力","都市ガス","熱供給業","水道","廃棄物処理","卸売","小売","金融","保険","不動産仲介及び賃貸","住宅賃貸料","住宅賃貸料(帰属家賃)","鉄道旅客輸送","鉄道貨物輸送","道路旅客輸送","道路貨物輸送(自家輸送を除く。)","自家輸送(旅客自動車)","自家輸送(貨物自動車)","外洋輸送","沿海･内水面輸送","港湾運送","航空輸送","貨物利用運送","倉庫","こん包","その他の運輸附帯サービス","郵便･信書便","通信","放送","情報サービス","インターネット附随サービス","映像･音声･文字情報制作","公務(中央)","公務(地方)","学校教育","社会教育･その他の教育","学術研究機関","企業内研究開発","医療","保健衛生","社会保険･社会福祉","介護","他に分類されない会員制団体","物品賃貸業(貸自動車業を除く。)","貸自動車業","広告","自動車整備","機械修理","その他の対事業所サービス","宿泊業","飲食サービス","洗濯･理容･美容･浴場業","娯楽サービス","その他の対個人サービス","事務用品","分類不明","内生部門計","家計外消費支出(列)","家計消費支出","対家計民間非営利団体消費支出","一般政府消費支出","一般政府消費支出(社会資本等減耗分)","国内総固定資本形成(公的)","国内総固定資本形成(民間)","在庫純増","国内最終需要計","国内需要合計","輸出","輸出(直接購入)","輸出計","最終需要計","需要合計","(控除)輸入","(控除)輸入(直接購入)","(控除)関税","(控除)輸入品商品税","(控除)輸入計","最終需要部門計","国内生産額"
"その他の窯業･土石製品",3867,192,5969,1345,496,6451,5174,2389,25,1,7,77,0,229,0,0,23,5,0,1019,0,2971,202,222,4,3358,2,0,0,0,0,0,0,0,0,86,129,1767,282,4079,1394,0,66,88,1640,4356,31691,31,914,1079,957,1061,58,8010,861,0,515,1000,1387,244,4832,1395,236,588,0,19,18635,35727,12895,27713,50605,100617,0,2216,337,3161,26219,0,37368,0,45,8927,10693,2659,1370,15796,1789,2175,494,3626,18013,551,3436,2218,3535,3364,27263,6402,13878,565,394,1837,779,1054,319,54453,20527,36395,4315,52,3264,21297,3334,2402,2524,26577,2604,34,45700,3442,3343,296,194,5135,5693,0,47844,100642,19872,46407,37428,734,114,0,20257,0,3672,2506,67,0,0,0,0,0,0,0,0,0,0,0,8,14,0,0,0,0,5,0,0,0,0,0,508,158,1759,22706,2946,3062,0,0,0,0,0,0,0,0,0,1499,437,103,201,2175,203,5598,4378,7297,5990,1129639,3020,93667,0,0,0,0,0,-21557,75130,1204769,383434,694,384128,459258,1588897,-235873,0,-1014,-18951,-255838,203420,1333059
"銑鉄･粗鋼",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,3482091,0,5785673,4978,0,271245,16670,0,0,0,24,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,9561381,0,0,0,0,0,0,0,-2400,-2400,9558981,64064,0,64064,61664,9623045,-294339,0,-2303,-23732,-320374,-258710,9302671
"鉄屑",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,-1,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,-2,0,0,0,0,0,-8,-3,-25,0,91013,0,-39796,-6074,-35763,2252,-10024,0,0,0,0,-792,-1238,-489,-11456,-309,-351,-493,-219,-3160,-214,-1828,-89,-1106,-1134,-3520,-1842,-1277,-592,-23,-667,-3,-65,-257,0,-25,-1928,-1133,0,-5,-1275,-78,-512,-22,-1865,-2035,-231,-4699,-6960,-1022,-219,-415,-23,-158,0,0,0,-4574,-1129,-623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-58358,0,-34627,0,0,0,-28047,-168467,0,-231141,-289499,313585,0,313585,82444,24086,-22302,0,0,-1784,-24086,58358,0
"熱間圧延鋼材",0,0,0,0,0,0,0,0,0,0,0,0,0,982,484,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,368,4841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20488,0,0,2490,0,0,8922,572335,1809478,131199,402921,0,0,1126,0,393877,30245,40559,279338,19421,71302,22447,5941,300566,28808,41629,5733,23893,26916,133915,17615,98325,939,6642,11636,6681,122,4126,0,6958,73062,10799,273,136,9640,988,1142,416,190245,110586,83,279771,248390,30602,2372,28895,1943,1877,0,259149,184768,41210,168816,166414,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,114,0,0,0,0,0,0,136,0,7438,6352609,0,0,0,0,0,0,0,-97975,-97975,6254634,1910360,0,1910360,1812385,8164994,-251967,0,0,-20158,-272125,1540260,7892869
"鋼管",0,0,0,0,0,0,0,1,0,0,0,0,0,427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450,0,5,3673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,1,0,341,0,0,4,0,0,0,103587,0,1289,6150,0,0,0,0,41041,3781,5993,41429,48795,6347,8184,7270,18790,6246,19841,1909,9588,15355,7080,16813,21585,281,9770,144,93,0,873,0,321,7279,165,194,0,932,329,540,0,424,559,65,108195,38573,1639,0,3053,1216,50,0,64021,57566,23306,56080,78757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5081,855540,0,0,0,0,0,0,0,-40643,-40643,814897,435469,0,435469,394826,1250366,-34818,0,0,-2786,-37604,357222,1212762
"冷延･めっき鋼材",0,0,328,8,0,5,22,0,0,8,0,107,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,986,32559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15538,859,11077,0,2,0,11051,0,5,1037,0,0,0,35861,768129,8384,845925,597,0,2165,3596,11967,190493,39069,510448,36176,30726,19668,5088,43316,15307,44410,8429,48012,22783,92187,46899,67536,6382,16584,17498,490,427,252,4934,28428,219803,63037,2441,5471,49096,9039,9719,5171,350086,130935,359,140130,23751,6745,69,10013,1673,13339,0,17581,29116,93640,28168,34264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13570,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2809,0,0,0,0,0,0,310,0,3558,4309822,0,0,0,0,0,0,0,-71550,-71550,4238272,796552,0,796552,725002,5034824,-166436,0,0,-13316,-179752,545250,4855072
"鋳鍛造品(鉄)",0,0,0,0,0,0,0,0,0,0,0,257,0,15,26,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,288,1494,0,526,0,0,0,0,0,10746,0,0,0,0,0,58003,495,15,41270,125663,73482,17876,45420,63129,23347,72137,9135,30248,30876,81759,18544,162955,5362,14628,1242,3413,599,8928,0,2848,86495,2685,400,3823,4471,740,1759,2758,6980,1922,0,577430,67936,8836,6259,39312,3651,1855,0,6432,1798,2916,14553,76432,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,96,21,0,0,0,0,25,0,73,84,20,0,0,0,0,0,0,108,675,0,30,145,34,3937,1831005,0,37,0,0,0,0,0,-24790,-24753,1806252,44609,12,44621,19868,1850873,-28295,-23,-3,-2263,-30584,-10716,1820289
"その他の鉄鋼製品",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,71611,0,0,0,0,0,0,0,0,592,0,12,0,0,0,0,0,0,0,29,0,154,0,0,652,0,0,0,0,51,7784,771,317,3313,849,0,0,0,0,1228,0,0,0,86,2807,210098,216040,26455,523769,54826,55059,60016,15582,41424,18567,65777,8223,22612,18490,79814,18146,61988,1158,20452,9206,7722,81,0,992,31878,88441,64528,90,0,24762,14466,823,1476,79528,18987,2403,232641,123121,28595,0,45762,82,6904,0,4609,3067,7671,4885,775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5231,0,0,0,0,0,0,0,3050,2421770,0,0,0,0,0,0,0,-1990,-1990,2419780,19923,0,19923,17933,2439703,-167263,0,0,-13381,-180644,-162711,2259059
"非鉄金属製錬･精製",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,64,1219,0,0,443,0,0,132,0,706,69288,0,8080,0,348,0,0,0,0,0,571,0,33904,0,0,6324,0,0,0,0,7637,0,21405,9214,14453,57746,0,0,2263,155373,3905,0,283028,0,487795,1894289,5489,609,4337,175289,0,0,36,112,12322,0,0,1296,2671,2770,20,5625,9731,90,0,10640,74687,6745,0,195488,135075,95585,3625,479,1821,170558,3312,4465,109,124,34,0,170880,539,1676,0,270,2211,57578,0,0,2366,0,0,0,140,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001,154,0,0,0,0,1372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,7811,4227445,0,168356,0,0,0,0,0,-45473,122883,4350328,1086820,0,1086820,1209703,5437148,-1809019,0,-1412,-144835,-1955266,-745563,3481882
"非鉄金属屑",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-15,0,0,0,0,0,-3090,0,0,423,0,0,0,-6,0,0,0,0,0,0,0,0,0,0,-111,0,-54,0,0,0,0,0,-35,1,19,0,0,-3922,-55,34,-506,323232,0,15825,338841,-29,-7611,-1870,-26680,-174,-1738,-19,-57,-7163,-60,-282,-13,-16,-120,-362,-151,-208,-1650,-76,-113,-78,-331,-1207,-137547,-4921,-4896,-331,-82,-57,-1452,-12,-480,-219,0,-1199,-3345,-1258,-39,0,-264,-17,-22,-650,0,0,0,0,-44,-74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,463664,0,-6657,0,0,0,0,-205416,0,-212073,251591,224289,0,224289,12216,475880,-440601,0,-29,-35250,-475880,-463664,0
"電線･ケーブル",0,0,0,0,0,0,0,0,0,0,0,0,0,396,6,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,66406,918,0,0,14101,1504,13691,7709,24858,15290,8670,1091,4664,444,5742,8295,9836,13143,33267,4434,15576,1547,2959,40,4824,35662,147395,217006,26621,3869,5236,37789,131252,11994,17646,72399,13732,3002,310641,21704,5696,3863,745,1536,518,0,83732,86490,89519,38992,182127,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441,5297,0,0,0,0,2072,0,0,0,0,0,0,0,0,3813,16924,1868,0,0,0,0,0,0,7377,1846746,0,0,0,0,0,0,0,-15641,-15641,1831105,285131,0,285131,269490,2116236,-768464,0,-641,-61528,-830633,-561143,1285603
"その他の非鉄金属製品",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2292,1214,0,22854,0,1124,13192,9888,4520,0,354,0,0,0,9,15,0,0,0,0,2515,23820,0,8,0,569,1621,12554,0,3,1613,0,10,0,0,0,0,7644,267,0,600,0,14031,193,2,20477,4024,2387,7,374,918,605,958,1320,4662,0,0,0,0,16003,213,0,3317,0,23073,122142,19786,295711,54063,232714,65969,69242,9551,55944,116618,10357,21210,6937,9728,19440,59238,42651,56643,4780,14560,43474,21031,9790,41691,40840,206983,268501,97554,14298,22676,78956,19769,14432,19528,26037,27782,275,581628,30459,15406,26519,12331,7333,45104,0,15656,20004,13370,9194,5933,6474,0,0,1078,0,805,458,0,0,0,0,0,0,0,0,0,0,0,279,242,1,0,0,0,204,0,0,0,0,0,0,2048,1883,752,0,0,0,560,78601,0,1359,3707,971,0,0,0,3212,0,0,3282,9187,3450,0,2506,1379,2677,3348203,1312,7258,0,0,0,0,336808,-60305,285073,3633276,797821,0,797821,1082894,4431097,-356976,0,-5939,-29032,-391947,690947,4039150
"建設用金属製品",0,0,0,0,0,0,0,0,30,0,0,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,585,0,195075,796522,451467,336016,460203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2316931,0,0,0,0,0,332,33949,11675,45956,2362887,38848,0,38848,84804,2401735,-212869,0,0,-17030,-229899,-145095,2171836
"建築用金属製品",0,0,0,0,0,0,0,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,2409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,0,0,0,0,0,0,0,0,60,0,0,0,0,0,801,0,1405,7866,0,0,0,500,3666,0,0,38,317,0,341,0,1108,0,0,0,0,0,0,0,293,0,0,0,0,0,371,0,0,0,0,0,0,20140,13557,0,0,0,25757,0,665404,681494,649900,32239,29774,0,0,0,0,0,0,0,0,0,0,1322,343,221,3,0,0,0,0,0,1574,384,0,0,0,0,51,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,1056,0,0,1876,0,0,0,0,0,0,0,0,2229,2147260,0,28739,0,638,0,0,0,14028,43405,2190665,5684,0,5684,49089,2196349,-129478,0,-1352,-10466,-141296,-92207,2055053
"ガス･石油機器･暖房･調理装置",0,0,0,0,0,0,0,0,0,0,0,0,0,711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,54,1314,135680,820,982,22,0,92,730,105,0,57,5,71,799,0,616,0,0,251,0,0,0,0,97,211,0,0,0,0,38,0,0,0,0,0,0,3071,1389,0,0,0,0,0,84908,116501,250864,4397,1522,0,0,0,115,0,0,0,0,0,0,2427,1306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354,0,0,0,0,0,0,0,0,0,0,435,0,0,0,1344,2318,0,0,0,0,2340,0,169,618224,1359,51908,0,0,0,94,102446,-23252,132555,750779,50340,12,50352,182907,801131,-17231,-361,0,-1378,-18970,163937,782161
"その他の金属製品",4776,691,3019,497,445,522,3790,60,266,169,55,2104,5,3718,12315,402,18864,26851,285,16105,11126,19640,14842,137777,216937,1958,155,32,2,81,2,122,6948,784,647,797,21400,107282,623,5937,578,1099,3666,2933,10,983,24453,487,3723,1089,18580,4118,377,93035,10556,23279,36625,2746,24969,6383,1667,20234,16869,58765,390,3660,11731,23560,12724,1924,15134,1037,0,301,38,1208,20243,337,2888,0,5575,6438,94898,121306,68232,316057,66196,122545,22460,31783,122826,28048,96327,12808,32317,43319,121991,77012,125367,18954,149604,57031,21197,14927,6160,77298,199631,265770,74833,11889,30028,54901,67796,27114,50916,60073,31374,1273,295197,95914,13599,2356,11414,6609,71815,165,203432,156846,578814,88056,48838,6376,5466,0,3511,745,193765,83015,2245,1816,643,1464,17845,1856,67,1250,19501,0,0,91,4248,3362,250,934,5465,28221,2754,45,10235,282,4042,1283,2812,134059,41178,3111,584,813,3310,11687,151,5630,5292,10773,3360,3590,63,8444,45095,8474,4766,72404,19482,1500,32586,542,24898,6249140,28819,198768,0,0,0,18021,309609,9553,564770,6813910,768663,17,768680,1333450,7582590,-783783,-1704,-6025,-63179,-854691,478759,6727899
"ボイラ･原動機",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245591,41167,1631,0,790,33363,33754,0,2828,0,38,0,3467,0,0,0,0,0,0,0,0,3575,0,0,0,0,0,0,0,0,0,0,0,0,2620,0,2677,0,0,0,669,2967,0,4865,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93127,0,0,0,0,0,0,0,0,481342,0,0,0,0,0,15291,1116844,31683,1163818,1645160,760386,0,760386,1924204,2405546,-285365,0,0,-22829,-308194,1616010,2097352
"ポンプ･圧縮機",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292,39,20899,208123,11574,31687,4145,6732,19001,2,6415,23449,10278,18421,19255,0,5164,9401,4782,0,0,0,0,3994,28066,1413,0,0,0,40,0,0,283,0,30921,28493,2472,0,3952,0,131,0,34734,46040,0,33693,35650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,27,10919,0,0,0,0,0,0,0,0,660899,0,12619,0,0,0,43438,897214,16630,969901,1630800,780070,0,780070,1749971,2410870,-352380,0,0,-28190,-380570,1369401,2030300
"運搬機械",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,18754,0,0,0,0,0,0,16328,53476,0,10575,16474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90428,0,0,0,0,0,0,0,0,381584,0,0,0,0,0,54532,725932,4337,784801,1166385,220629,0,220629,1005430,1387014,-91393,0,0,-7311,-98704,906726,1288310
"冷凍機･温湿調整装置",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158878,1834,0,0,0,841,775,0,15326,8843,0,48981,0,867,0,0,0,0,43,37653,0,0,0,0,0,325,0,3254,0,0,5496,1652,0,0,0,0,0,11052,92832,0,5371,1736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76295,0,0,0,0,0,0,0,0,472054,0,0,0,0,0,39013,1038410,8566,1085989,1558043,40922,0,40922,1126911,1598965,-126989,0,0,-10159,-137148,989763,1461817
"その他のはん用機械",0,0,0,0,0,0,0,0,0,24,0,0,0,251,1547,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,7,13144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,590,0,0,4938,0,0,0,0,6451,790,3441,792,1772,0,0,0,0,0,3266,0,0,0,0,134,4692,11,1625,5501,115592,52136,88418,37961,439542,17806,21706,4744,69386,27015,108754,55614,150263,4129,16187,8321,209,2192,2741,12071,17757,108134,24153,510,3601,1028,6338,3797,1396,5859,1182,0,259199,37014,5875,2707,18037,0,4966,0,3282,10164,8370,948,148,0,0,0,46838,0,192,214,0,1,0,0,0,1868,17,43,29,0,0,28,0,10,242,17,269,20,2140,74,0,46,0,0,240,5543,1449,0,0,0,0,0,0,10,0,0,54,0,0,9171,209707,5079,0,0,0,0,386,0,0,2092166,0,672,0,0,0,4792,499671,27251,532386,2624552,1570303,0,1570303,2102689,4194855,-568589,0,0,-45487,-614076,1488613,3580779
"農業用機械",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97973,0,0,0,0,0,0,0,0,247161,0,0,0,0,0,455,479990,7842,488287,735448,223248,0,223248,711535,958696,-62435,0,0,-4995,-67430,644105,891266
"建設･鉱山機械",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,593721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114007,0,0,0,0,0,0,0,0,707728,0,0,0,0,0,4860,1167740,41087,1213687,1921415,910566,0,910566,2124253,2831981,-214631,0,0,-17170,-231801,1892452,2600180
"繊維機械",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38942,0,0,0,0,0,0,0,0,98508,0,7048,0,0,0,176,122594,1897,131715,230223,227050,0,227050,358765,457273,-60577,0,0,-4846,-65423,293342,391850
