"Date","総合(ウエイト=10000)","生鮮食品を除く総合(ウエイト=9586)","食料(酒類を除く)及びエネルギーを除く総合(ウエイト=6713)","生鮮食品及びエネルギーを除く総合(ウエイト=8802)"
"03年06月",-0.4,-0.4,-0.3,-0.4
"03年07月",-0.2,-0.2,0,-0.2
"03年08月",-0.3,-0.1,-0.1,-0.1
"03年09月",-0.2,-0.1,-0.1,-0.2
"03年10月",0,0.1,-0.1,0
"03年11月",-0.5,-0.1,-0.2,-0.2
"03年12月",-0.4,0,-0.3,-0.1
"04年01月",-0.3,-0.1,-0.4,-0.1
"04年02月",0,0,-0.4,0
"04年03月",-0.1,-0.1,-0.4,-0.1
"04年04月",-0.4,-0.2,-0.6,-0.1
"04年05月",-0.5,-0.3,-0.6,-0.3
"04年06月",0,-0.1,-0.7,-0.2
"04年07月",-0.1,-0.2,-0.8,-0.4
"04年08月",-0.2,-0.2,-0.7,-0.4
"04年09月",0,0,-0.7,-0.3
"04年10月",0.5,-0.1,-0.5,-0.4
"04年11月",0.8,-0.2,-0.7,-0.5
"04年12月",0.2,-0.2,-0.7,-0.5
"05年01月",-0.1,-0.3,-0.6,-0.6
"05年02月",-0.3,-0.4,-0.6,-0.7
"05年03月",-0.2,-0.3,-0.6,-0.6
"05年04月",0,-0.2,-0.5,-0.6
"05年05月",0.2,0,-0.4,-0.4
"05年06月",-0.5,-0.2,-0.4,-0.5
"05年07月",-0.3,-0.2,-0.4,-0.4
"05年08月",-0.3,-0.1,-0.5,-0.4
"05年09月",-0.3,-0.1,-0.3,-0.3
"05年10月",-0.7,0,-0.4,-0.3
"05年11月",-0.8,0.1,-0.1,-0.2
"05年12月",-0.1,0.1,0,-0.2
"06年01月",-0.1,-0.1,-0.7,-0.6
"06年02月",-0.1,0,-0.5,-0.6
"06年03月",-0.2,0.1,-0.5,-0.6
"06年04月",-0.1,-0.1,-0.6,-0.6
"06年05月",0.1,0,-0.5,-0.6
"06年06月",0.5,0.2,-0.4,-0.4
"06年07月",0.3,0.2,-0.3,-0.3
"06年08月",0.9,0.3,-0.4,-0.3
"06年09月",0.6,0.2,-0.5,-0.3
"06年10月",0.4,0.1,-0.4,-0.3
"06年11月",0.3,0.2,-0.2,-0.1
"06年12月",0.3,0.1,-0.3,-0.2
"07年01月",0,0,-0.2,-0.1
"07年02月",-0.2,-0.1,-0.3,-0.1
"07年03月",-0.1,-0.3,-0.4,-0.1
"07年04月",0,-0.1,-0.2,-0.1
"07年05月",0,-0.1,-0.3,-0.1
"07年06月",-0.2,-0.1,-0.4,-0.2
"07年07月",0,-0.1,-0.5,-0.2
"07年08月",-0.2,-0.1,-0.2,-0.1
"07年09月",-0.2,-0.1,-0.3,-0.2
"07年10月",0.3,0.1,-0.3,-0.1
"07年11月",0.6,0.4,-0.1,0
"07年12月",0.7,0.8,-0.1,0.1
"08年01月",0.7,0.8,-0.1,0.2
"08年02月",1,1,-0.1,0.3
"08年03月",1.2,1.2,0.1,0.4
"08年04月",0.8,0.9,-0.1,0.5
"08年05月",1.3,1.5,-0.1,0.7
"08年06月",2,1.9,0.1,0.9
"08年07月",2.3,2.4,0.2,1
"08年08月",2.1,2.4,0,1.1
"08年09月",2.1,2.3,0.2,1.2
"08年10月",1.7,1.9,0.2,1.2
"08年11月",1,1,0,1.1
"08年12月",0.4,0.2,0,0.9
"09年01月",0,0,-0.2,0.7
"09年02月",-0.1,0,-0.1,0.6
"09年03月",-0.3,-0.1,-0.3,0.5
"09年04月",-0.1,-0.1,-0.4,0.2
"09年05月",-1.1,-1.1,-0.5,-0.1
"09年06月",-1.8,-1.7,-0.7,-0.4
"09年07月",-2.2,-2.2,-0.9,-0.6
"09年08月",-2.2,-2.4,-0.9,-0.8
"09年09月",-2.2,-2.3,-1,-0.9
"09年10月",-2.5,-2.2,-1.1,-1.1
"09年11月",-1.9,-1.7,-1,-1.1
"09年12月",-1.7,-1.3,-1.2,-1.2
"10年01月",-1.3,-1.3,-1.2,-1.3
"10年02月",-1.1,-1.2,-1.1,-1.2
"10年03月",-1.1,-1.2,-1.1,-1.3
"10年04月",-1.2,-1.5,-1.6,-1.6
"10年05月",-0.9,-1.2,-1.6,-1.7
"10年06月",-0.7,-1,-1.5,-1.5
"10年07月",-0.9,-1.1,-1.5,-1.5
"10年08月",-0.9,-1,-1.5,-1.5
"10年09月",-0.6,-1.1,-1.5,-1.5
"10年10月",0.2,-0.6,-0.8,-0.9
"10年11月",0.1,-0.5,-0.9,-0.9
"10年12月",0,-0.4,-0.7,-0.8
