"Date","女:15~64歳:15~24","女:15~64歳:25~34","女:15~64歳:35~44","女:15~64歳:45~54","女:15~64歳:55~64","女:15~64歳","女:総数","男:15~64歳:15~24","男:15~64歳:25~34","男:15~64歳:35~44","男:15~64歳:45~54","男:15~64歳:55~64","男:15~64歳","男:総数"
"01年04月",8,7,3.7,2.8,3.3,4.8,4.5,10,5.6,3.1,3.5,6.9,5.2,5.1
"01年05月",8.3,7,3.5,2.9,3.6,4.9,4.6,11.2,5.6,2.9,3.3,7,5.3,5.1
"01年06月",8.7,6.8,3.7,3.2,3,5,4.7,10.4,5.5,3.3,3.7,6.4,5.3,5.1
"01年07月",8.6,6.6,3.9,2.9,4.1,5,4.7,10.9,5.6,3.5,3.6,6.9,5.4,5.2
"01年08月",8.7,6.7,4.4,3.1,3.9,5.1,4.8,10.9,5.2,3.8,3.6,6.9,5.4,5.2
"01年09月",9.3,6.7,4.9,3.5,4.1,5.4,5.1,12.1,5.4,3.6,3.6,7.1,5.5,5.4
"01年10月",8.9,6.1,4.5,3.2,4,5.1,4.8,11.4,5.6,3.6,4.2,7.3,5.7,5.6
"01年11月",8.3,7.2,4.2,3.5,4,5.3,5,10.8,5.8,3.7,4.8,7.5,5.9,5.6
"01年12月",8,7.6,4.6,3.4,3.9,5.3,5,10.8,6,3.7,4.4,7.7,5.9,5.7
"02年01月",8.5,7.1,4.3,3.6,3.4,5.2,5,11.9,5.7,3.5,4.1,6.9,5.6,5.4
"02年02月",8.8,7.4,4.7,3.7,4,5.5,5.2,12.2,5.8,3.3,4.3,6.6,5.6,5.4
"02年03月",8.8,7.7,4.9,3.5,3.7,5.5,5.2,11,5.6,3.5,4.1,7,5.6,5.4
"02年04月",8.7,6.9,4.3,3.8,3.4,5.3,5,11.1,5.8,3.4,4.1,7.3,5.7,5.5
"02年05月",9.1,7.2,4.3,4,4.1,5.5,5.2,10.7,6.1,3.8,4,7.6,5.8,5.6
"02年06月",9.3,7.8,4.7,3.6,4.1,5.7,5.3,10.9,6,3.8,3.8,7.7,5.8,5.6
"02年07月",9,7.8,5.2,3.2,3.5,5.5,5.2,11.5,5.8,3.8,4.2,6.6,5.7,5.5
"02年08月",9.1,7.3,4.4,3.7,3.7,5.4,5.1,11.2,6.2,3.8,4.7,7.2,6,5.8
"02年09月",8.3,7.3,4.1,3.8,3.5,5.3,5,10.4,6.1,4.2,4.7,7.2,6,5.7
"02年10月",8,7.4,4.5,3.7,3.7,5.3,5,10.6,6,4.2,4.4,7,5.9,5.7
"02年11月",7,7,4.8,3.4,3.9,5.1,4.8,11.6,5.5,3.8,4.2,7.2,5.7,5.5
"02年12月",8.8,7.4,5,3.4,3.9,5.5,5.2,10.8,5.6,4.1,4.3,7.5,5.8,5.6
"03年01月",9.2,7.4,5.3,3.3,4,5.6,5.3,11,5.4,3.9,4.2,7.1,5.7,5.5
"03年02月",9.2,6.8,4.7,3.1,4.2,5.3,5,10.7,5.4,3.7,4,7.1,5.6,5.4
"03年03月",9.2,6.2,4.9,3.5,4,5.2,4.9,12.4,6.3,4,3.8,7.4,6,5.7
"03年04月",9.5,7,4.8,3.3,4.2,5.4,5.1,12,6.2,3.9,4.1,7,5.9,5.7
"03年05月",9,7.2,4.9,3,4,5.4,5.1,11.9,5.9,3.9,4.4,7.2,5.9,5.7
"03年06月",9,6.6,4.6,3.1,3.7,5.2,4.9,12,6.3,3.8,4.2,7.1,5.9,5.7
"03年07月",8.2,6.9,4.6,3.8,3.3,5.2,4.9,11.2,5.6,3.8,3.8,6.8,5.5,5.4
"03年08月",7.9,6.8,4.5,3.1,3.6,5,4.8,11.9,5.7,3.4,4.1,6.2,5.5,5.3
"03年09月",8,6.8,4.8,2.7,3.7,5,4.8,10.7,6.1,3.5,4.4,6.6,5.7,5.5
"03年10月",8,6.9,4.8,2.9,4,5.1,4.8,11.3,5.9,3.5,3.9,6.5,5.5,5.3
"03年11月",8.3,6.5,4.9,3.2,3.7,5.1,4.9,11.3,6.4,3.5,3.5,6.2,5.4,5.3
"03年12月",7.7,6.3,4.1,3.4,3.6,4.8,4.6,11.7,5.9,3.4,3.3,6.1,5.3,5.1
"04年01月",9,5.5,4.3,3.5,3.4,4.8,4.6,10.9,6,3.7,3.5,5.9,5.3,5.1
"04年02月",8,6.1,4.7,3.6,2.9,4.9,4.6,11.5,5.9,3.8,3.8,5.6,5.4,5.2
"04年03月",8.4,5.7,4.3,3.2,2.8,4.7,4.5,11,5.4,3.4,3.9,5.7,5.2,5
"04年04月",8.1,6.2,4.6,3.2,3,4.8,4.5,10.9,5.1,4,3.8,5.6,5.2,5
"04年05月",8.1,6.1,4.7,2.8,3,4.7,4.5,10.7,5.2,4,3.8,4.9,5,4.8
"04年06月",7.4,6.4,4.2,2.8,3.4,4.6,4.4,11.3,5.5,3.6,4,5,5.2,4.9
