"Date","正社員労働市場関係指標","パートタイムを含む一般","パートタイムを除く一般","一般パートタイム"
"93年04月",,0.82,0.77,1.26
"93年05月",,0.8,0.75,1.21
"93年06月",,0.76,0.71,1.17
"93年07月",,0.74,0.69,1.15
"93年08月",,0.72,0.67,1.13
"93年09月",,0.7,0.66,1.11
"93年10月",,0.68,0.64,1.08
"93年11月",,0.67,0.62,1.06
"93年12月",,0.66,0.61,1.04
"94年01月",,0.65,0.6,1.01
"94年02月",,0.64,0.59,1.01
"94年03月",,0.65,0.6,1.02
"94年04月",,0.65,0.6,1.04
"94年05月",,0.63,0.58,1.05
"94年06月",,0.63,0.58,1.06
"94年07月",,0.63,0.58,1.07
"94年08月",,0.64,0.58,1.1
"94年09月",,0.65,0.59,1.13
"94年10月",,0.65,0.59,1.11
"94年11月",,0.64,0.58,1.09
"94年12月",,0.63,0.57,1.1
"95年01月",,0.64,0.58,1.13
"95年02月",,0.65,0.59,1.15
"95年03月",,0.66,0.59,1.16
"95年04月",,0.65,0.58,1.15
"95年05月",,0.63,0.57,1.12
"95年06月",,0.62,0.55,1.11
"95年07月",,0.61,0.55,1.1
"95年08月",,0.62,0.55,1.12
"95年09月",,0.62,0.55,1.12
"95年10月",,0.62,0.55,1.14
"95年11月",,0.62,0.55,1.15
"95年12月",,0.63,0.56,1.18
"96年01月",,0.65,0.57,1.2
"96年02月",,0.66,0.58,1.2
"96年03月",,0.68,0.6,1.24
"96年04月",,0.69,0.61,1.26
"96年05月",,0.69,0.61,1.28
"96年06月",,0.7,0.62,1.3
"96年07月",,0.72,0.63,1.33
"96年08月",,0.72,0.63,1.33
"96年09月",,0.72,0.63,1.35
"96年10月",,0.73,0.64,1.37
"96年11月",,0.74,0.65,1.4
"96年12月",,0.74,0.65,1.4
"97年01月",,0.74,0.64,1.41
"97年02月",,0.74,0.64,1.41
"97年03月",,0.74,0.64,1.44
"97年04月",,0.74,0.63,1.45
"97年05月",,0.74,0.63,1.48
"97年06月",,0.74,0.64,1.49
"97年07月",,0.74,0.63,1.49
"97年08月",,0.73,0.62,1.46
"97年09月",,0.71,0.61,1.44
"97年10月",,0.7,0.6,1.43
"97年11月",,0.68,0.58,1.4
"97年12月",,0.67,0.57,1.38
"98年01月",,0.63,0.54,1.31
"98年02月",,0.61,0.51,1.27
"98年03月",,0.57,0.48,1.22
"98年04月",,0.56,0.47,1.21
"98年05月",,0.54,0.45,1.18
"98年06月",,0.52,0.44,1.16
"98年07月",,0.51,0.42,1.12
"98年08月",,0.5,0.41,1.13
"98年09月",,0.49,0.4,1.12
"98年10月",,0.48,0.39,1.1
"98年11月",,0.47,0.39,1.09
"98年12月",,0.47,0.39,1.09
"99年01月",,0.48,0.39,1.1
"99年02月",,0.48,0.39,1.11
"99年03月",,0.48,0.39,1.13
"99年04月",,0.47,0.38,1.09
"99年05月",,0.46,0.37,1.08
"99年06月",,0.46,0.37,1.07
"99年07月",,0.47,0.38,1.08
"99年08月",,0.47,0.38,1.1
"99年09月",,0.48,0.39,1.12
"99年10月",,0.49,0.39,1.14
"99年11月",,0.49,0.39,1.15
"99年12月",,0.5,0.4,1.17
"00年01月",,0.51,0.41,1.21
"00年02月",,0.52,0.42,1.25
"00年03月",,0.54,0.43,1.29
"00年04月",,0.56,0.44,1.32
"00年05月",,0.56,0.45,1.35
"00年06月",,0.58,0.46,1.39
"00年07月",,0.6,0.47,1.43
"00年08月",,0.61,0.48,1.46
"00年09月",,0.62,0.49,1.49
"00年10月",,0.64,0.5,1.53
"00年11月",,0.65,0.51,1.57
"00年12月",,0.65,0.51,1.59
"01年01月",,0.65,0.51,1.56
"01年02月",,0.64,0.51,1.54
"01年03月",,0.63,0.5,1.5
"01年04月",,0.62,0.49,1.49
"01年05月",,0.61,0.48,1.48
"01年06月",,0.61,0.48,1.47
"01年07月",,0.6,0.47,1.44
"01年08月",,0.58,0.46,1.41
"01年09月",,0.57,0.45,1.37
"01年10月",,0.54,0.42,1.3
"01年11月",,0.52,0.41,1.28
"01年12月",,0.51,0.39,1.25
"02年01月",,0.5,0.39,1.24
"02年02月",,0.51,0.39,1.25
"02年03月",,0.52,0.4,1.28
"02年04月",,0.52,0.4,1.29
"02年05月",,0.53,0.4,1.31
"02年06月",,0.53,0.41,1.33
"02年07月",,0.54,0.41,1.36
"02年08月",,0.55,0.42,1.37
"02年09月",,0.55,0.43,1.37
"02年10月",,0.56,0.43,1.36
"02年11月",,0.56,0.44,1.36
"02年12月",,0.57,0.45,1.36
"03年01月",,0.58,0.46,1.38
"03年02月",,0.59,0.47,1.39
"03年03月",,0.6,0.47,1.39
"03年04月",,0.61,0.48,1.39
"03年05月",,0.61,0.48,1.4
"03年06月",,0.62,0.48,1.4
"03年07月",,0.63,0.49,1.43
"03年08月",,0.65,0.51,1.48
"03年09月",,0.67,0.53,1.53
"03年10月",,0.7,0.55,1.58
"03年11月",,0.72,0.57,1.61
"03年12月",,0.75,0.6,1.64
"04年01月",,0.76,0.61,1.63
"04年02月",,0.76,0.61,1.61
"04年03月",,0.77,0.62,1.6
"04年04月",,0.78,0.63,1.58
"04年05月",,0.8,0.65,1.57
"04年06月",,0.82,0.68,1.52
"04年07月",,0.83,0.7,1.46
"04年08月",,0.84,0.71,1.39
"04年09月",,0.86,0.74,1.34
"04年10月",,0.88,0.76,1.36
"04年11月",0.54,0.91,0.79,1.37
"04年12月",0.54,0.92,0.8,1.34
"05年01月",0.55,0.91,0.79,1.31
"05年02月",0.55,0.91,0.8,1.31
"05年03月",0.56,0.93,0.81,1.34
"05年04月",0.58,0.94,0.83,1.33
"05年05月",0.58,0.94,0.84,1.33
"05年06月",0.57,0.95,0.84,1.34
"05年07月",0.57,0.96,0.84,1.36
"05年08月",0.58,0.96,0.85,1.38
"05年09月",0.58,0.96,0.85,1.37
"05年10月",0.59,0.98,0.86,1.4
"05年11月",0.59,0.99,0.87,1.41
"05年12月",0.6,1.01,0.89,1.43
"06年01月",0.62,1.03,0.91,1.45
"06年02月",0.62,1.04,0.92,1.45
"06年03月",0.63,1.05,0.93,1.45
"06年04月",0.63,1.05,0.94,1.44
"06年05月",0.63,1.07,0.95,1.45
"06年06月",0.63,1.07,0.96,1.46
"06年07月",0.64,1.08,0.96,1.47
"06年08月",0.63,1.07,0.96,1.46
"06年09月",0.63,1.07,0.95,1.46
"06年10月",0.62,1.06,0.94,1.46
"06年11月",0.63,1.06,0.94,1.46
"06年12月",0.62,1.06,0.94,1.47
"07年01月",0.62,1.06,0.94,1.44
"07年02月",0.62,1.05,0.93,1.43
"07年03月",0.62,1.05,0.94,1.44
"07年04月",0.63,1.07,0.95,1.47
"07年05月",0.62,1.07,0.95,1.47
"07年06月",0.62,1.07,0.95,1.47
"07年07月",0.62,1.06,0.94,1.45
"07年08月",0.62,1.05,0.93,1.44
"07年09月",0.61,1.03,0.91,1.42
"07年10月",0.6,1.01,0.89,1.39
"07年11月",0.59,0.98,0.87,1.34
"07年12月",0.59,0.98,0.86,1.34
"08年01月",0.59,0.97,0.85,1.34
"08年02月",0.59,0.96,0.84,1.33
"08年03月",0.59,0.96,0.83,1.33
"08年04月",0.59,0.96,0.83,1.32
"08年05月",0.59,0.95,0.83,1.3
"08年06月",0.58,0.92,0.81,1.28
"08年07月",0.56,0.89,0.78,1.25
"08年08月",0.54,0.86,0.75,1.22
"08年09月",0.52,0.83,0.71,1.18
"08年10月",0.49,0.79,0.68,1.14
"08年11月",0.47,0.75,0.64,1.1
"08年12月",0.44,0.71,0.6,1.07
"09年01月",0.39,0.64,0.53,1.01
"09年02月",0.35,0.57,0.47,0.91
"09年03月",0.32,0.52,0.42,0.85
"09年04月",0.29,0.49,0.39,0.8
"09年05月",0.27,0.46,0.37,0.76
"09年06月",0.26,0.44,0.36,0.74
"09年07月",0.25,0.43,0.35,0.72
"09年08月",0.25,0.42,0.34,0.7
"09年09月",0.25,0.43,0.35,0.71
"09年10月",0.26,0.44,0.35,0.71
"09年11月",0.25,0.44,0.35,0.71
"09年12月",0.26,0.44,0.36,0.7
"10年01月",0.26,0.45,0.37,0.71
"10年02月",0.27,0.46,0.38,0.72
"10年03月",0.28,0.48,0.39,0.73
"10年04月",0.29,0.49,0.4,0.76
"10年05月",0.29,0.5,0.41,0.77
"10年06月",0.3,0.51,0.43,0.79
"10年07月",0.31,0.53,0.44,0.8
"10年08月",0.32,0.54,0.45,0.81
"10年09月",0.32,0.55,0.46,0.82
"10年10月",0.34,0.56,0.47,0.84
"10年11月",0.34,0.58,0.48,0.85
"10年12月",0.35,0.59,0.49,0.84
"11年01月",0.36,0.6,0.51,0.85
"11年02月",0.37,0.62,0.53,0.87
"11年03月",0.37,0.62,0.53,0.88
"11年04月",0.37,0.62,0.53,0.86
"11年05月",0.38,0.61,0.53,0.83
"11年06月",0.38,0.62,0.54,0.84
"11年07月",0.39,0.64,0.56,0.87
"11年08月",0.4,0.65,0.57,0.89
"11年09月",0.41,0.67,0.59,0.91
"11年10月",0.42,0.69,0.6,0.93
"11年11月",0.43,0.71,0.62,0.95
"11年12月",0.44,0.72,0.63,0.97
"12年01月",0.44,0.74,0.64,0.99
"12年02月",0.45,0.75,0.65,1.01
"12年03月",0.46,0.77,0.66,1.04
"12年04月",0.47,0.78,0.68,1.06
"12年05月",0.48,0.79,0.69,1.07
"12年06月",0.49,0.8,0.7,1.09
"12年07月",0.49,0.81,0.7,1.09
"12年08月",0.49,0.82,0.71,1.1
"12年09月",0.49,0.81,0.7,1.11
"12年10月",0.49,0.82,0.71,1.11
"12年11月",0.49,0.82,0.7,1.12
"12年12月",0.5,0.83,0.71,1.13
"13年01月",0.51,0.84,0.72,1.15
"13年02月",0.51,0.85,0.74,1.16
